label,g (m/s2),stat uncert,sys uncert,total uncert
23.Sep.A.B04.05,9.8,,0.09,0.09
23.Sep.A.B04.06,9.73,0.1,,0.127
23.Sep.A.B04.07,10.09,0.1,0.3,0.4
23.Sep.A.B04.08,9.63,,0.31,0.31
23.Sep.A.B04.09,10.3,0.1,0.2,0.2
23.Sep.A.B04.10,10.2,0.4,0.1,0.5
23.Sep.A.B04.11,10.5,0.16,0.5,0.56
23.Sep.A.B04.12,10.4,0.1,,0.1
23.Sep.B.B01.01,9.857,,,0.098
23.Sep.B.B01.02,9.2,0.105,0.043,
23.Sep.B.B01.03,9.78,0.02,0.02,
23.Sep.B.B01.04,9.76,0.05,0.12,
23.Sep.B.B01.05,9.61,0.099,0.74,
23.Sep.B.B01.06,9.95,0.4,0.01,
23.Sep.B.B01.07,9.85,0.02,0.01,
23.Sep.B.B01.08,9.846,0.015,0.022,0.027
23.Sep.B.B01.09,9.94,0.018,0.019,0.037
23.Sep.B.B01.10,9.9,0.1,0.2,
23.Sep.B.B01.11,9.6079,0.0031,0.2114,
23.Sep.B.B02.00,9.81,,,0.18
23.Sep.B.B02.01,9.814,0.085,0.004,
23.Sep.B.B02.02,9.78,,,0.05
23.Sep.B.B02.03,9.74,,,0.09
23.Sep.B.B02.04,9.67,0.12,0.06,
23.Sep.B.B02.05,9.83,0.02,0.04,
23.Sep.B.B02.06,9.9,,,0.2236
23.Sep.B.B02.07,9.82,0.001,0.022,
23.Sep.B.B02.08,9.99,0.03,0.69,
23.Sep.B.B02.09,9.77,,,0.13
23.Sep.B.B02.10,9.908,0.016,0.099,
23.Sep.B.B02.11,9.818,,,0.023
23.Sep.B.B02.12,9.791,,,0.032
23.Sep.B.B02.13,9.813,,,0.009
23.Sep.B.B03.01,9.48,0.48,0.7,
23.Sep.B.B03.02,9.63,0.44,0.03,
23.Sep.B.B03.03,9.76,0.06,0.06,
23.Sep.B.B03.04,10,,,0.2
23.Sep.B.B03.05,9.74,0.01,0.02,
23.Sep.B.B03.06,9.421,0.04,1.147,
23.Sep.B.B03.07,9.77,0.0276,0.166,
23.Sep.B.B03.08,9.77,0.01,0.03,
23.Sep.B.B03.09,10.09,,,0.02
23.Sep.B.B03.10,9.81,0.02,0.05,
23.Sep.B.B03.11,9.14,,,0.06
23.Sep.B.B04.01,9.906,0.049,0.012,
23.Sep.B.B04.02,9.857,0.115,0.071,
23.Sep.B.B04.03,9.858,,,0.037
23.Sep.B.B04.04,9.89,0.01,0.16,
23.Sep.B.B04.05,9.85,0.02,0.1,
23.Sep.B.B04.06,9.8,0.49,0.01,
23.Sep.B.B04.07,9.74,0.0094,0.016,
23.Sep.B.B04.08,9.62,0.28,0.027,
23.Sep.B.B04.09,9.75,0.03,0.05,
23.Sep.B.B04.10,9.6,,,0.3
23.Sep.B.B04.11,9.789027,,,0.028
23.Sep.B.B04.12,9.8,0.01,0.02,
24.Feb.A.B01.01,10.2,0.1,0.5,
24.Feb.A.B01.02,9.81,0.09,0.16,
24.Feb.A.B01.03,9.6,0.1,0.4,
24.Feb.A.B01.04,14.64,,,3.82
24.Feb.A.B01.05,10.6,0.6,0.8,
24.Feb.A.B02.01,9.5,,,0.7
24.Feb.A.B02.02,9,,,0.8
24.Feb.A.B02.03,9.9,,,0.4
24.Feb.A.B02.04,9.23,,,1.08
24.Feb.B.B01.01,9.83,0.0007,0.04,
24.Feb.B.B01.02,9.813,0.027,0.004,
24.Feb.B.B01.03,9.79,,,0.17
24.Feb.B.B01.04,9.73,0.03,0.24,
24.Feb.B.B01.05,9.62,0.29,0.03,
24.Feb.B.B02.01,9.82,,,0.38
24.Feb.B.B02.02,9.8,0.06,0.01,
24.Feb.B.B02.03,9.848,0.057,0.178,
24.Feb.B.B02.04,10.66,0.078,0.019,
24.Sep.A.B01.01,9.42,,,0.022
24.Sep.A.B01.02,9.81,,,0.1
24.Sep.A.B01.03,9.62,,,0.12
24.Sep.A.B01.04,9.76,,,0.24
24.Sep.A.B01.05,9.78,,,0.35
24.Sep.A.B01.06,9.8,,,0.11
24.Sep.A.B01.07,10.22,,,0.14
24.Sep.A.B01.08,9.66215007,,,0.22593816
24.Sep.A.B01.09,12.83,,,1.74
24.Sep.A.B01.10,9.3,0.04,0.3,
24.Sep.A.B02.01,9.91,,,0.12
24.Sep.A.B02.02,10.22,,,0.07
24.Sep.A.B02.03,10.15,,,1.13
24.Sep.A.B02.04,10.43,0.03,0.2,
24.Sep.A.B02.05,10,,,0.2
24.Sep.A.B02.06,10.5,,,0.95
24.Sep.A.B02.07,9.487,,,0.03
24.Sep.A.B02.08,10.48,,,0.05
24.Sep.A.B02.09,10.1,,,0.1
24.Sep.A.B02.10,10.5,,,0.21
24.Sep.A.B03.01,10,,,2
24.Sep.A.B03.02,9.74,,,0.062
24.Sep.A.B03.03,9.4,,,0.5
24.Sep.A.B03.04,9.66,,,0.225
24.Sep.A.B03.05,9.75,,,0.19
24.Sep.A.B03.06,10.1,,,0.3
24.Sep.A.B03.07,9.9,0.1,0.16,0.188679623
24.Sep.A.B03.08,9.81,,,0.5
24.Sep.A.B03.09,12.4,,,0.3
24.Sep.A.B03.10,9.92,,,0.21
24.Sep.A.B03.11,10.3,,,0.3
24.Sep.A.B03.12,10.18,,,1.16
24.Sep.A.B04.01,9.6,,,0.3
24.Sep.A.B04.02,9.79,,,0.21
24.Sep.A.B04.03,9.5,,,0.6
24.Sep.A.B04.04,9.1,,,0.5
24.Sep.A.B04.05,9.63,,,0.16
24.Sep.A.B04.06,9.72,,,0.43
24.Sep.A.B04.07,9.7,,,0.4
24.Sep.A.B04.08,9.8,,,0.02
24.Sep.A.B04.09,9.6,,,0.5
24.Sep.A.B04.10,9.635,,,0.223
24.Sep.A.B04.11,12.82,,,0.13
24.Sep.A.B04.12,10.4,,,1.2
24.Sep.A.B04.13,9.1,,,0.6
24.Sep.B.B01.01,9.53,0.14,0.39,
24.Sep.B.B01.02,9.76,0.02,0.07,
24.Sep.B.B01.03,9.78,0.01,0.14,
24.Sep.B.B01.04,9.84,0.09,0.31,
24.Sep.B.B01.05,9.81,,,0.02
24.Sep.B.B01.06,9.84,,,0.04
24.Sep.B.B01.07,9.87,0.1,0.03,
24.Sep.B.B01.08,9.572,0.82,0.68,
24.Sep.B.B01.09,9.821,,,0.261
24.Sep.B.B01.10,9.77,0.52,0.19,
24.Sep.B.B01.11,9.79,,,0.04
24.Sep.B.B02.01,9.88,0.01,0.16,
24.Sep.B.B02.02,10.08,0.08,0.09,
24.Sep.B.B02.03,9.78,,,0.03
24.Sep.B.B02.04,9.84,0.027,0.122,
24.Sep.B.B02.05,9.75,0.0088,0.1,
24.Sep.B.B02.06,9.47,0.04,0.17,
24.Sep.B.B02.07,10.39,,,0.036
24.Sep.B.B02.08,9.98,0.29,0.046,
24.Sep.B.B02.09,9.93,0.004,0.11,
24.Sep.B.B02.10,9.847,0.208,0.177,
24.Sep.B.B02.11,10.31,,,0.511
24.Sep.B.B02.12,10.17,0.03,0.28,
24.Sep.B.B03.01,9.77,0.02,0.05,
24.Sep.B.B03.02,9.89,,,0.22
24.Sep.B.B03.03,9.79,,,0.02
24.Sep.B.B03.04,9.62,0.16,0.11,
24.Sep.B.B03.05,10.194,,,0.0237
24.Sep.B.B03.06,9.74893,,,0.0317063
24.Sep.B.B03.07,9.81,0.04,0.03,
24.Sep.B.B03.08,9.8,,,0.7
24.Sep.B.B03.09,10.07,,,0.4
24.Sep.B.B03.10,9.85,0.19,0.043,
24.Sep.B.B03.11,9.93,,,0.11
24.Sep.B.B03.12,9.82,,,0.02
24.Sep.B.B04.01,9.79,0.07,0.002,
24.Sep.B.B04.02,9.833,,,0.033
24.Sep.B.B04.03,9.62,,,0.03
24.Sep.B.B04.04,9.76,,,0.053
24.Sep.B.B04.05,9.51,,,0.08
24.Sep.B.B04.06,9.8,,,0.06
24.Sep.B.B04.07,9.83,0.06,0.07,
24.Sep.B.B04.08,9.82,,,0.02
24.Sep.B.B04.09,9.5447,,,0.0118
24.Sep.B.B04.10,9.8,,,0.36
24.Sep.B.B04.11,9.409,,,0.449
24.Sep.B.B04.12,10,,,0.1
25.Feb.A.B01.1,9.87,,,0.17
25.Feb.A.B01.2,10.22,,,0.58
25.Feb.A.B01.3,11.7,,,0.2
25.Feb.A.B01.4,10.27,,,0.7
25.Feb.A.B02.1,9.7,0.11,,0.11
